2026-06-21 18:33:46 | INFO     | 帳號: 
2026-06-21 18:33:46 | INFO     | [LOGIN] 成功 | empId=K18251 | role=leader | ip=127.0.0.1
2026-06-21 18:33:55 | INFO     | [WRITE:employee] K18251(User-K18251) | K25578 (無變動) | ip=127.0.0.1
2026-06-21 18:33:56 | INFO     | [WRITE:employee] K18251(User-K18251) | K25578 (無變動) | ip=127.0.0.1
2026-06-21 18:33:56 | INFO     | [WRITE:employee] K18251(User-K18251) | K25578 (無變動) | ip=127.0.0.1
2026-06-21 18:33:57 | INFO     | [WRITE:employee] K18251(User-K18251) | K25578 (無變動) | ip=127.0.0.1
2026-06-21 18:34:07 | INFO     | [WRITE:employee] K18251(User-K18251) | K25578 (無變動) | ip=127.0.0.1
2026-06-21 18:34:10 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) date: 「2026-06-17」 | ip=127.0.0.1
2026-06-21 18:34:15 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) 學習內容: 「4545」 | ip=127.0.0.1
2026-06-21 18:34:15 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) 練習項目: 「4545」 | ip=127.0.0.1
2026-06-21 18:34:16 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) 備註: 「4545」 | ip=127.0.0.1
2026-06-21 18:34:18 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) 長官評語: 「45455」 | ip=127.0.0.1
2026-06-21 18:34:28 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) mentorSignerId: 「C9228」 | ip=127.0.0.1
2026-06-21 18:34:29 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-17) leaderSignerId: 「C9228」 | ip=127.0.0.1
2026-06-21 18:34:34 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-16) date: 「2026-06-16」 | ip=127.0.0.1
2026-06-21 18:34:38 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第7天(2026-06-15) date: 「2026-06-15」 | ip=127.0.0.1
2026-06-21 18:34:41 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第6天(第6天) 學習內容: 「85」 | ip=127.0.0.1
2026-06-21 18:34:42 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第6天(第6天) 練習項目: 「456」 | ip=127.0.0.1
2026-06-21 18:34:43 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第6天(第6天) 備註: 「456」 | ip=127.0.0.1
2026-06-21 18:34:48 | INFO     | [PATCH:day] K18251(User-K18251) | [K25578] 第6天(2026-06-17) date: 「2026-06-17」 | ip=127.0.0.1
