2026-06-22 09:50:18 | INFO     | 帳號: 
2026-06-22 09:50:18 | INFO     | [LOGIN] 成功 | empId=K18251 | role=leader | ip=127.0.0.1
2026-06-22 09:50:23 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第1天(第1天) 學習內容: 「86」 | ip=127.0.0.1
2026-06-22 09:50:23 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第1天(第1天) 練習項目: 「56」 | ip=127.0.0.1
2026-06-22 09:50:24 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第1天(第1天) 備註: 「56」 | ip=127.0.0.1
2026-06-22 09:50:25 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第1天(第1天) 長官評語: 「56」 | ip=127.0.0.1
2026-06-22 09:50:27 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第1天(2026-06-22) date: 「2026-06-22」 | ip=127.0.0.1
2026-06-22 09:50:28 | INFO     | [WRITE:employee] K18251(User-K18251) | K26881 (無變動) | ip=127.0.0.1
2026-06-22 09:50:31 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第2天(第2天) 學習內容: 「5656」 | ip=127.0.0.1
2026-06-22 09:50:32 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第2天(第2天) 練習項目: 「6556」 | ip=127.0.0.1
2026-06-22 09:50:32 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第2天(第2天) 備註: 「656」 | ip=127.0.0.1
2026-06-22 09:50:33 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第2天(第2天) 長官評語: 「5665」 | ip=127.0.0.1
2026-06-22 09:50:35 | INFO     | [PATCH:day] K18251(User-K18251) | [K26881] 第2天(2026-06-18) date: 「2026-06-18」 | ip=127.0.0.1
2026-06-22 10:11:53 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:11:56 | INFO     | [PATCH:day] K18251(User-K18251) | [K26287] 第4天(第4天) 練習項目: 「56566」 | ip=127.0.0.1
2026-06-22 10:11:57 | INFO     | [PATCH:day] K18251(User-K18251) | [K26287] 第4天(第4天) 學習內容: 「5656」 | ip=127.0.0.1
2026-06-22 10:11:57 | INFO     | [PATCH:day] K18251(User-K18251) | [K26287] 第4天(第4天) 備註: 「5656」 | ip=127.0.0.1
2026-06-22 10:11:59 | INFO     | [PATCH:day] K18251(User-K18251) | [K26287] 第4天(第4天) 長官評語: 「565656」 | ip=127.0.0.1
2026-06-22 10:12:00 | INFO     | [PATCH:day] K18251(User-K18251) | [K26287] 第4天(2026-06-25) date: 「2026-06-25」 | ip=127.0.0.1
2026-06-22 10:12:01 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:12:02 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:12:03 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:12:03 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:12:04 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:12:04 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
2026-06-22 10:12:04 | INFO     | [WRITE:employee] K18251(User-K18251) | K26287 (無變動) | ip=127.0.0.1
