2026-08-10 09:20:28 | INFO     | 帳號: 
2026-08-10 09:20:28 | INFO     | [LOGIN] 成功 | empId=K18251 | role=leader | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 1.個人基本資料（入賴群） 狀態: 完成 ✓ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 2.開通 AD 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 3.開通 Notes ID（含設定） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 4.MES 相關申請（含設定） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 5.PIP 拍照申請 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 6.NDA 保密義務承諾書 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 7.門禁開通 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 8.無塵服申請 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 9.停車證申請 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 10.廠區介紹六六 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 11.資安宣導 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 12.配件領取（無塵袋〈大、小〉、安全帽） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 13.新人課程 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 14.個人槽使用申請（工程師） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:25:57 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 15.外網權限（工程師） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:02 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 2.開通 AD 狀態: 完成 ✓ | ip=127.0.0.1
2026-08-10 10:26:02 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25578(梁凱葳)] 權限項目 3.開通 Notes ID（含設定） 狀態: 完成 ✓ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 第1天 總分: 90.0 → 90 | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 1.個人基本資料（入賴群） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 2.開通 AD 狀態: 完成 ✓ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 3.開通 Notes ID（含設定） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 4.MES 相關申請（含設定） 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 5.PIP 拍照申請 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 6.NDA 保密義務承諾書 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 7.門禁開通 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 8.無塵服申請 狀態: 取消 ☐ | ip=127.0.0.1
2026-08-10 10:26:08 | INFO     | [WRITE:employee] K18251(User-K18251) | [K25715(洪偉展)] 權限項目 9.停車證申請 狀態: 取消 ☐ | ip=127.0.0.1
