是否為認證項目,姓名,工號,分類,項目,子項目,功能說明,是否具備,廠商或工程師認證
,,,系統,MES CENTER WEB REPORT,A3自動化By Pass設定, 設定單一機台並使用特定批號進行關閉比對動作,,
,,,系統,MES CENTER WEB REPORT,Automation Control ,設定單一機台關閉比對,,
,,,系統,MES CENTER WEB REPORT,A3 Lot Basic Info Query,查詢批號基本訊息(確認ZO23A),,
,,,系統,MES CENTER WEB REPORT,EIG Log Monitor,可查詢各site各站過帳訊息,,
,,,系統,MES CENTER WEB REPORT,Rule Config Query,主查詢限定機台,,
,,,系統,MES CENTER WEB REPORT,A3最小合理過帳時間維護,可設定站點特定條件出帳時間管控,,
,,,系統,MES CENTER WEB REPORT,A3單顆基板Boat顆數設定,可設定產品在Boat上作業資訊,,
,,,系統,MES CENTER WEB REPORT,Configuration,設定新進/轉調人員使用權限,,
,,,系統,MES CENTER WEB REPORT,EMS-機台主檔維護 ,可檢視各站機台資產,,
,,,系統,MES CENTER WEB REPORT,FC排貨系統 ,可檢視各站排貨看板(3400),,
,,,系統,MES CENTER WEB REPORT,RMS-A3 RMS Query By Schedule ,可檢視批號設定各站參數,,
,,,系統,MES CENTER WEB REPORT,aEDC-A3 aEDC待完成表單查詢,可檢視批號有無尚未結單的EDC表單,,
,,,系統,MES CENTER WEB REPORT,ME Repair Histroy Query,查詢機台簽修機時間與人員,,
,,,系統,MES CENTER WEB REPORT,機台Sch明細表,確認機台是否有設定限定機檯作業,,
,,,系統,MES CENTER WEB REPORT,A3 Personal Output Analysis  Report,檢視當班作業當站作業數量(產線常用),,
,,,系統,MES CENTER WEB REPORT,Schedule Track-in/out Query,查詢特定日期當站作業數量,,
,,,系統,MES CENTER WEB REPORT,aTrack  Center ,確認批號作業相關站點有無記錄到aTrack data,,
,,,系統,I-CAT、載具管理、SFiS、Tooling,OP_QUALIFICATION_MAP,OP資格卡設定,,
,,,系統,I-CAT、載具管理、SFiS、Tooling,WIP_STEP_CTRL,先進先出 & 不同母批防呆設定,,
,,,系統,I-CAT、載具管理、SFiS、Tooling,ASE_ASSY_MAGAZINE_INFO,Move In/Out 確認盒號,,
,,,系統,I-CAT、載具管理、SFiS、Tooling,Mount Information Query,確認機台掛載Tooling資訊,,
,,,系統,I-CAT、載具管理、SFiS、Tooling,載具類型定義,設定載具加入新站點,,
,,,系統,I-CAT、載具管理、SFiS、Tooling,載具 歷史查詢,查詢載具歷史訊息,,
