Id,時間,IP,設備類型,舊狀態,新狀態,Machine_ID,Device_Name
1,2026-05-27 14:35:55,10.16.60.104,EAP,首次記錄,alive,2340-A02,20120924-C02
2,2026-05-27 14:35:55,10.11.93.84,EAP,首次記錄,alive,2195 量測,20130110-W27
3,2026-05-27 14:35:55,10.11.94.93,EAP,首次記錄,dead,2490_EAP,20130605-W04
4,2026-05-27 14:35:55,10.11.93.112,EAP,首次記錄,alive,2195_RFID,20140514-W37
5,2026-05-27 14:35:55,10.11.93.96,EAP,首次記錄,alive,2195_EAP,20150316-W03
6,2026-05-27 14:35:55,10.16.60.135,EAP,首次記錄,dead,看板 PC,20160307-W23
7,2026-05-27 14:35:55,10.11.93.107,EAP,首次記錄,alive,2195_ADC,20150622-W05
8,2026-05-27 14:35:55,10.11.94.99,EAP,首次記錄,alive,2490_EAP,20150622-W11
9,2026-05-27 14:35:55,10.16.28.93,EAP,首次記錄,alive,2870-D01,20151214-103
10,2026-05-27 14:35:55,10.11.104.139,EAP,首次記錄,alive,EAP_備份 PC(二園區),20151222-W01
11,2026-05-27 14:35:55,10.11.104.136,EAP,首次記錄,alive,EAP_備份 PC(一園區),20151222-W04
12,2026-05-27 14:35:55,10.16.60.102,EAP,首次記錄,alive,2490-A02,20160929-W17
13,2026-05-27 14:35:55,10.11.104.218,EAP,首次記錄,alive,2000 CIM PC,CIM200
14,2026-05-27 14:35:55,10.11.104.219,EAP,首次記錄,alive,3000 CIM PC,CIM300
15,2026-05-27 14:35:55,10.11.104.220,EAP,首次記錄,dead,3000-01 PC,CIM3000-01
16,2026-05-27 14:35:55,10.11.104.221,EAP,首次記錄,dead,3000-02 PC,CIM3000-02
17,2026-05-27 14:35:55,10.12.171.114,EAP,首次記錄,dead,AOI,20180917-W11
18,2026-05-27 14:35:55,10.11.99.134,EAP,首次記錄,alive,看板 PC,20190314-W09
19,2026-05-27 14:35:55,10.11.99.111,EAP,首次記錄,alive,看板 PC,20190314-W07
20,2026-05-27 14:35:55,10.11.106.112,EAP,首次記錄,alive,2900/4600 A3 Production Rate PC,20190722-W01
21,2026-05-27 14:35:55,10.11.107.93,EAP,首次記錄,alive,5131,20190924-W10
22,2026-05-27 14:35:55,10.16.136.81,EAP,首次記錄,alive,Dryroom 看板 PC,20200603-W22
23,2026-05-27 14:35:55,10.11.89.84,EAP,首次記錄,alive,自動搬運 PC,20200603-W29
24,2026-05-27 14:35:55,10.11.105.131,EAP,首次記錄,alive,KVM PC,20210323-W01
25,2026-05-27 14:35:55,10.11.105.126,EAP,首次記錄,alive,KVM PC,20210323-W02
26,2026-05-27 14:35:55,10.11.107.89,EAP,首次記錄,alive,看板 PC,20210930-W59
27,2026-05-27 14:35:55,10.11.106.98,EAP,首次記錄,alive,,20211201-W96
28,2026-05-27 14:35:55,10.11.99.130,EAP,首次記錄,alive,,20220119-W31
29,2026-05-27 14:35:55,10.11.99.135,EAP,首次記錄,alive,,20220920-W08
30,2026-05-27 14:35:55,10.11.99.142,EAP,首次記錄,alive,,20220920-W29
31,2026-05-27 14:35:55,10.11.106.119,EAP,首次記錄,alive,AI PC,20230619-W88
32,2026-05-27 14:35:55,10.11.99.131,EAP,首次記錄,alive,,20230619-W96
33,2026-05-27 14:35:55,10.16.134.143,EAP,首次記錄,alive,,20231027-W01
34,2026-05-27 14:35:57,172.21.27.2,EAP,首次記錄,alive,2880-K05~K08_EAP,20220119-W36
35,2026-05-27 14:35:57,172.21.27.3,EAP,首次記錄,alive,2880-K09~K12_EAP,20220119-W37
36,2026-05-27 14:35:57,172.21.27.31,EAP,首次記錄,alive,2560 EAP,20180724-W54
37,2026-05-27 14:35:57,172.21.27.32,EAP,首次記錄,alive,2845-K01 EAP,20180124-W47
38,2026-05-27 14:35:57,172.21.27.39,EAP,首次記錄,alive,2845-K07~K08 EAP,20100112-W01
39,2026-05-27 14:35:57,172.21.27.4,EAP,首次記錄,alive,2880-K13~K14_EAP,20180724-W53
40,2026-05-27 14:35:57,172.21.28.1,EAP,首次記錄,alive,3190_EAP,20171225-W09
41,2026-05-27 14:35:57,172.21.28.7,EAP,首次記錄,alive,跨樓層分貨看板PC,20171225-W07
